job_title,company_name,location,salary,job_url,source_site,search_keyword,organization_type,gtelp_relevance,collection_date,collection_time
"탄탄한 중견기업스크랩[토익470점/업계최고복지] 대한항공 국제선 예약/발권센터 전문상담  ZAe4트랜스코스모스코리아서울 강서구 외 5호텔·여행·항공, 인바운드상담원, 여행에이전트, 승무원즉시 지원경력무관•경조사 지원,우수사원 포상제도,육아휴직,휴가비 지원,사내 동호회 ",발권센터,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47834557?Oem_Code=C1&logpath=1&stext=G-TELP&listno=2&sc=630,잡코리아,G-TELP,Financial,Low,2025-10-21,15:26:29
"탄탄한 중견기업스크랩[토익470점/항공예약] 대한항공 국제선 예약/발권센터 전문상담    ZAe4트랜스코스모스코리아서울 강서구 외 5호텔·여행·항공, 인바운드상담원, 여행에이전트, 승무원즉시 지원경력무관09/07(일) 등록•11/04(화) 마감",발권센터,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47643851?Oem_Code=C1&logpath=1&stext=G-TELP&listno=3&sc=630,잡코리아,G-TELP,Others,Low,2025-10-21,15:26:29
"스크랩[발권안내] 대한항공 국제선 예약발권상담 모집㈜유정에이치알서울 강서구 외 5콜센터·아웃소싱·기타, 인바운드상담원, 아웃바운드상담원, 여행에이전트즉시 지원경력무관•우수사원 포상제도,연장근로수당,휴일근로수당,연차제도,퇴직금,건강보험,고용보험,국민연금,산재보험10/06",콜센터,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47813706?Oem_Code=C1&logpath=1&stext=G-TELP&listno=11&sc=630,잡코리아,G-TELP,Financial,Low,2025-10-21,15:26:29
"스크랩[ 강서 대한항공 국제선 발권안내 모집 ]㈜유정에이치알서울 강서구 외 4콜센터·아웃소싱·기타, 인바운드상담원, 여행에이전트, 승무원월급 290~330만원즉시 지원경력무관•우수사원 포상제도,연장근로수당,휴일근로수당,연차제도,퇴직금,건강보험,고용보험,국민연금,산재보험",콜센터,서울,330만원,https://www.jobkorea.co.kr/Recruit/GI_Read/47812061?Oem_Code=C1&logpath=1&stext=G-TELP&listno=12&sc=630,잡코리아,G-TELP,Financial,Low,2025-10-21,15:26:29
"상여금/인센티브 지급스크랩[일반/영어] 대한항공 국내선 예약발권상담 인바운드 모집㈜유정에이치알서울 강서구 외 5콜센터·아웃소싱·기타, 사무보조, 인바운드상담원, 아웃바운드상담원월급 250~290만원즉시 지원경력무관•성과급,임직원 할인,우수사원 포상제도,육아휴직,연차제도",콜센터,서울,290만원,https://www.jobkorea.co.kr/Recruit/GI_Read/47742437?Oem_Code=C1&logpath=1&stext=G-TELP&listno=13&sc=630,잡코리아,G-TELP,Financial,Medium,2025-10-21,15:26:29
"신입 지원 가능스크랩[ 강서구/ 대한항공 국제선 예약/발권 센터 인바운드 상담사 모집]㈜에이치알스카우트서울 강서구 외 5호텔·여행·항공, 비서, 인바운드상담원, 여행에이전트연봉 3,500~4,500만원즉시 지원신입·경력•신입사원 지원금09/08(월) 등록•상시채용",에이치알스카우트서울 강서구 외 5호텔,서울,"4,500만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47653510?Oem_Code=C1&logpath=1&stext=G-TELP&listno=14&sc=630,잡코리아,G-TELP,Others,Low,2025-10-21,15:26:29
"신입 지원 가능스크랩[ 강서구/ 대한항공 국제선 예약/발권 고객센터 인바운드 상담사 모집]㈜에이치알스카우트서울 강서구 외 5호텔·여행·항공, 비서, 인바운드상담원, 여행에이전트연봉 3,500~4,500만원즉시 지원신입·경력•경조사 지원,우수사원 포상제도,휴양시설 지원,",고객센터,서울,"4,500만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47829214?Oem_Code=C1&logpath=1&stext=G-TELP&listno=15&sc=630,잡코리아,G-TELP,Financial,Low,2025-10-21,15:26:29
"재택/원격근무 가능스크랩최고복지 / 대한항공 국제선 예약발권센터 모집㈜유정에이치알서울 강서구 외 5콜센터·아웃소싱·기타, 사무보조, 인바운드상담원, 아웃바운드상담원즉시 지원경력무관•경조사 지원,우수사원 포상제도,재택근무,연장근로수당,휴일근로수당,연차제도,퇴직금,건강보험",예약발권센터,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47622351?Oem_Code=C1&logpath=1&stext=G-TELP&listno=16&sc=630,잡코리아,G-TELP,Financial,Low,2025-10-21,15:26:29
"신입 지원 가능스크랩마곡나루역 / 대한항공 콜센터 국제선 예약발권상담 [급여&복지우수]에스엠서치플러스㈜서울 강서구 외 5콜센터·아웃소싱·기타, 사무보조, 인바운드상담원, 매장관리자즉시 지원신입·경력•입사축하금,주말 휴무09/29(월) 등록•11/28(금) 마감",콜센터,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47783913?Oem_Code=C1&logpath=1&stext=G-TELP&listno=17&sc=630,잡코리아,G-TELP,Others,Low,2025-10-21,15:26:29
"스크랩M-07 마곡나루역 [정착금100만] 대한항공 (국제선) 예약/발권 서비스 상담에스엠서치플러스㈜서울 강서구 외 5콜센터·아웃소싱·기타, 인바운드상담원, 아웃바운드상담원, 여행에이전트즉시 지원경력무관09/29(월) 등록•11/28(금) 마감",콜센터,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47784248?Oem_Code=C1&logpath=1&stext=G-TELP&listno=18&sc=630,잡코리아,G-TELP,Service,Low,2025-10-21,15:26:29
"스크랩M-07 마곡나루 [정착금/구내식당] 대한항공 (국제선) 예약/발권 서비스상담에스엠서치플러스㈜서울 강서구 외 5콜센터·아웃소싱·기타, 인바운드상담원, 아웃바운드상담원, 여행에이전트즉시 지원경력무관•신입사원 지원금09/05(금) 등록•11/04(화) 마감",콜센터,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47646839?Oem_Code=C1&logpath=1&stext=G-TELP&listno=19&sc=630,잡코리아,G-TELP,Service,Low,2025-10-21,15:26:29
"유연근무제 시행중스크랩[시원스쿨] 실용 영어 컨텐츠 기획자 채용㈜에스제이더블유인터내셔널서울 영등포구학원·어학원·교육원, 웹기획, 교재개발·교수설계즉시 지원경력무관•경조사 지원,유연근무,패밀리데이,육아수당,연차제도,반차제도,출산휴가,웰컴키트09/18(목) 등록•내일마감",시원스쿨,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47722880?Oem_Code=C1&logpath=1&stext=%EC%A7%80%ED%85%94%ED%94%84&listno=9&sc=630,잡코리아,지텔프,IT_Tech,Medium,2025-10-21,15:26:31
"탄탄한 중견기업스크랩[YBMJIS] 한국국제학교 Business Staff 모집한국국제학교제주 서귀포시학교(초·중·고·대학·특수), 총무즉시 지원경력무관•경조사 지원,명절선물/명절상여 지원,음료/간식 지원,점심 식사 지원,기숙사 지원10/13(월) 등록•12/12(금)",YBMJIS,제주,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47831646?Oem_Code=C1&logpath=1&stext=Business+English&listno=8&sc=630,잡코리아,Business English,University,Low,2025-10-21,15:26:34
"스크랩[말레이시아] 트레이딩 소프트웨어 해외영업(영어 능통자)Manpower business solution아시아·중동 말레이시아서치펌·헤드헌팅, 해외영업, 금융영업연봉 3,900~8,000만원즉시 지원경력1년↑•숙소 지원,연차제도09/30(화) 등록•11/28(금) ",말레이시아,전국,"8,000만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47786442?Oem_Code=C1&logpath=1&stext=Business+English&listno=13&sc=630,잡코리아,Business English,Financial,Medium,2025-10-21,15:26:34
"신입 지원 가능스크랩[동국제약] 신입/경력 채용(헬스케어/글로벌/개발/디자인/교육/마케팅 등)동국제약㈜서울 강남구 외 14제약·보건·바이오, 웹기획, 마케팅기획, 브랜드마케터홈페이지 지원신입·경력•경조사 지원,음료/간식 지원,점심 식사 지원,우수사원 포상제도,복지포인트",동국제약,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47882978?Oem_Code=C1&logpath=1&stext=%EC%8B%A4%EB%AC%B4%EC%98%81%EC%96%B4&listno=3&sc=630,잡코리아,실무영어,Financial,Low,2025-10-21,15:26:37
